Clock frequency is approx. 799.9 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	2693	1377	875	667	549	464	398	347	314	287	267	249	239	231	227	
64m	2702	1384	871	670	550	466	398	349	315	286	268	249	239	232	228	
32m	2678	1380	881	665	549	471	403	346	313	286	267	254	240	236	226	
16m	2708	1426	873	673	567	461	404	347	323	286	274	249	240	237	226	
8m	2686	1425	872	667	563	478	409	346	313	286	275	257	239	231	226	
4m	3688	1901	1209	920	742	623	527	458	439	398	387	377	397	450	594	
2m	6196	3967	2729	2108	1722	1461	1256	1120	1070	1039	1010	994	1025	1050	1094	
1024k	6802	4634	3290	2566	2108	1788	1558	1377	1324	1288	1253	1231	1215	1202	1195	
512k	6875	4726	3292	2576	2105	1790	1557	1376	1325	1286	1254	1234	1223	1240	1260	
256k	6980	5435	4485	3768	3075	2606	2271	2008	1956	1902	1866	1826	1799	1837	1835	
128k	7050	6045	5900	5021	4241	3560	3079	2777	2709	2697	2689	2710	2692	2737	2718	
64k	7131	6001	5872	5025	4290	3628	3074	2781	2717	2730	2745	2717	2739	3131	5295	
32k	7876	7709	7404	7447	7280	7281	7257	6714	6803	6618	6845	6824	6461	6882	6519	
16k	7914	7585	7584	7185	6824	6658	6882	6301	5687	6299	5839	5460	5478	5999	5326	
